Date,Open,High,Low,Close,Volume,Name
2015-07-22,510.5,513.45,497.7,510.15,2086049,TECHM
2015-07-23,506.9,512.3,499.0,500.05,2670981,TECHM
2015-07-24,498.5,514.95,495.0,511.05,2285622,TECHM
2015-07-27,511.0,525.0,508.1,519.55,4208795,TECHM
2015-07-28,522.0,529.7,517.7,523.55,6316959,TECHM
2015-07-29,523.95,529.0,522.6,525.55,2061983,TECHM
2015-07-30,529.0,532.8,519.4,524.35,6558111,TECHM
2015-07-31,527.9,532.0,525.45,530.7,1229591,TECHM
2015-08-03,529.0,533.5,521.5,523.6,811778,TECHM
2015-08-04,525.0,549.0,524.15,542.05,2145670,TECHM
2015-08-05,543.9,558.8,542.0,550.6,2640419,TECHM
2015-08-06,556.0,557.05,531.1,533.9,1547635,TECHM
2015-08-07,534.8,545.4,531.45,535.15,1367440,TECHM
2015-08-10,536.45,542.15,526.85,530.95,600681,TECHM
2015-08-11,532.3,545.0,531.0,540.65,1434009,TECHM
2015-08-12,545.0,559.25,536.15,557.55,3674098,TECHM
2015-08-13,557.0,567.5,543.5,551.3,2714434,TECHM
2015-08-14,546.0,562.2,538.0,555.05,2257748,TECHM
2015-08-17,559.9,564.7,549.0,551.9,2144457,TECHM
2015-08-18,552.0,564.0,552.0,562.45,2130201,TECHM
2015-08-19,565.3,565.3,557.05,560.3,1599058,TECHM
2015-08-20,575.0,575.75,555.1,558.9,2873282,TECHM
2015-08-21,554.6,569.15,545.05,563.05,1329500,TECHM
2015-08-24,549.0,557.85,519.55,523.65,3422600,TECHM
2015-08-25,530.0,543.5,492.7,528.0,3057676,TECHM
2015-08-26,530.0,532.95,505.0,507.3,2169411,TECHM
2015-08-27,513.5,528.0,513.5,519.55,2967588,TECHM
2015-08-28,526.0,529.45,512.0,516.3,1642669,TECHM
2015-08-31,516.4,525.0,512.0,515.0,2104443,TECHM
2015-09-01,510.0,523.5,506.1,512.3,1340532,TECHM
2015-09-02,519.0,539.9,514.2,536.0,2308033,TECHM
2015-09-03,542.0,552.7,528.05,540.4,2220020,TECHM
2015-09-04,540.0,547.55,526.1,529.3,1438221,TECHM
2015-09-07,529.0,541.15,520.0,538.0,1222028,TECHM
2015-09-08,538.0,543.85,531.0,537.2,1074692,TECHM
2015-09-09,547.7,547.7,530.8,533.4,1271196,TECHM
2015-09-10,532.0,537.5,525.6,533.8,929833,TECHM
2015-09-11,533.0,539.55,522.0,525.05,873940,TECHM
2015-09-14,526.0,529.5,516.05,525.8,1784462,TECHM
2015-09-15,528.9,543.4,527.55,541.5,1366805,TECHM
2015-09-16,543.75,547.7,540.7,544.15,722804,TECHM
2015-09-18,545.25,564.35,545.25,561.5,1907266,TECHM
2015-09-21,553.0,578.9,549.0,567.5,995389,TECHM
2015-09-22,573.8,577.5,553.35,557.8,1172885,TECHM
2015-09-23,551.0,561.0,540.55,556.1,943910,TECHM
2015-09-24,560.0,570.0,549.95,567.35,1226153,TECHM
2015-09-28,573.35,582.0,570.2,573.4,1603999,TECHM
2015-09-29,572.45,576.1,562.6,570.4,1765081,TECHM
2015-09-30,575.7,575.7,553.2,557.35,2795413,TECHM
2015-10-01,558.7,566.5,537.05,563.0,2014882,TECHM
2015-10-05,564.5,575.0,561.1,569.9,2111594,TECHM
2015-10-06,575.0,578.85,558.0,564.75,1834106,TECHM
2015-10-07,566.15,569.65,560.6,566.3,1150506,TECHM
2015-10-08,570.0,572.8,560.4,563.0,1534024,TECHM
2015-10-09,561.8,568.0,556.2,561.2,1124964,TECHM
2015-10-12,562.6,570.0,558.0,562.75,758836,TECHM
2015-10-13,562.0,564.85,555.25,561.0,639491,TECHM
2015-10-14,559.0,564.35,545.2,548.05,950851,TECHM
2015-10-15,549.4,555.0,539.75,545.3,1833925,TECHM
2015-10-16,550.0,551.5,543.25,545.8,1934451,TECHM
2015-10-19,545.8,560.0,534.1,541.6,1446786,TECHM
2015-10-20,544.9,550.3,541.0,548.1,1060182,TECHM
2015-10-21,548.0,549.2,535.5,539.45,1566054,TECHM
2015-10-23,542.5,547.0,539.0,540.1,1229160,TECHM
2015-10-26,540.1,545.0,539.6,542.65,814364,TECHM
2015-10-27,543.3,544.25,536.1,538.8,839550,TECHM
2015-10-28,536.7,554.0,536.5,549.55,1731286,TECHM
2015-10-29,550.0,556.55,545.15,549.0,3049427,TECHM
2015-10-30,549.0,550.25,537.1,539.15,879393,TECHM
2015-11-02,541.0,557.5,532.45,556.05,1862983,TECHM
2015-11-03,558.3,563.0,548.5,556.75,1884815,TECHM
