Date,Open,High,Low,Close,Adj Close,Volume
2014-11-14,32260,32606.40039,32215.65039,32355.25,32038.05664,7441
2014-11-17,32679.80078,32770,32210,32621.19922,32301.40625,6337
2014-11-18,32663,33400,32440,32618,32298.23633,6945
2014-11-19,32798.85156,33049.80078,31666,32095.80078,31781.16016,11759
2014-11-20,32271.55078,32300,31700.05078,32044.90039,31730.75586,5399
2014-11-21,31950,32050,31600,31676.05078,31365.51953,7480
2014-11-24,31700.09961,32222.05078,31700.09961,31921.69922,31608.75586,6207
2014-11-25,31990,32178.90039,31520,31714.25,31403.34766,7214
2014-11-26,31860,33379.94922,31725,32989.69922,32666.29883,47448
2014-11-27,33400,33675,32880,33151.19922,32826.20703,24604
2014-11-28,33298,33980,33200.05078,33543.69922,33214.85547,15032
2014-12-01,33601.10156,33849.94922,33470,33532.75,33204.01563,7839
2014-12-02,33699,34400,33450,34281.44922,33945.37891,17395
2014-12-03,34330,37697,34225.10156,37496,37128.42188,60690
2014-12-04,37780,39499,37250.19922,37615.25,37246.49219,73538
2014-12-05,37900,38623.05078,37719.05078,38051.89844,37678.86328,21190
2014-12-08,38150,38640,37400,37831.64844,37460.77734,19849
2014-12-09,37879.89844,38180,36418,37073.25,36709.8125,23160
2014-12-10,37070,37568,36798.25,37224.19922,36859.27734,13632
2014-12-11,37453,38024.94922,36535.05078,37674.80078,37305.46094,21434
2014-12-12,37900,38176,37399.94922,37747.39844,37377.34766,12657
2014-12-15,37400,38062.69922,37369.89844,37880.14844,37508.79297,11312
2014-12-16,37514,37899,37025,37210.94922,36846.16797,12109
2014-12-17,37000.10156,37300,34565.10156,35561.25,35212.62891,27540
2014-12-18,35940,37351,35653.44922,37146.19922,36782.05078,21610
2014-12-19,37599,38314,36700,37871.14844,37499.88281,18894
2014-12-22,38005,38196.94922,37223.94922,37472.64844,37105.29297,12180
2014-12-23,37540,37698,36820.19922,36935.64844,36573.55469,11739
2014-12-24,36999,37250,35786,36186.44922,35831.70703,27999
2014-12-26,36499,37271.35156,36210,36442.94922,36085.68359,7358
2014-12-29,36719.89844,38490,36501,38414.44922,38037.85938,30912
2014-12-30,38411,38650,37800,37923.80078,37552.02344,16378
2014-12-31,37923.80078,38455.10156,37531.89844,37918.55078,37546.82813,14571
2015-01-01,37950,38320,37848.35156,37981.35156,37609.01172,9595
2015-01-02,38150,38400,37981,38192.25,37817.83594,11099
2015-01-05,38299,39390,38000,38477.30078,38100.10156,38178
2015-01-06,38350,38350,37350,37460,37092.76563,15734
2015-01-07,37499,37724.94922,37011,37381.05078,37014.58203,10795
2015-01-08,37790,38200,37712.55078,38076.5,37703.22266,13462
2015-01-09,38400,38489.5,37500,37707.25,37337.58984,11069
2015-01-12,37799,38300,37611,38094.44922,37720.99609,11590
2015-01-13,38150,38400,38002.35156,38170.10156,37795.91016,9242
2015-01-14,38180,38388,37925.85156,38235.35156,37860.51563,8681
2015-01-15,38460.35156,38798,38011.14844,38321.39844,37945.72266,11451
2015-01-16,38400,39874.05078,38140,39161.75,38777.82813,24081
2015-01-19,38925,39950,38925,39496.10156,39108.89453,17565
2015-01-20,39700,39980,39400.10156,39513.19922,39125.83203,15524
2015-01-21,39540,39679.94922,38800.05078,38902.64844,38521.26953,8900
2015-01-22,38999,39485.55078,38959,39146.55078,38762.78125,10228
2015-01-23,39550,39599,38420,38728.14844,38348.48438,10573
2015-01-27,39005,40250,38801.44922,39944.60156,39553.01172,20521
2015-01-28,40049,40307,39501.5,39729.55078,39340.07422,9457
2015-01-29,39900,40100,39599,39901.5,39510.32422,8400
2015-01-30,40000,40290,39651,40036.89844,39644.41016,7726
2015-02-02,40000,40480,39900.05078,40218.25,39823.97266,7555
2015-02-03,40397,41150,40253.55078,40623.39844,40225.15625,16966
2015-02-04,40674,40850,39700,40056.30078,39706.61328,8193
2015-02-05,40150,40268,39650,39729.10156,39382.27734,4235
2015-02-06,39850,39974,38500,38837.39844,38498.36328,7886
2015-02-09,38849.89844,38849.89844,37111,37290.10156,36964.5625,9430
2015-02-10,37496,38299,35520,36648.94922,36329.01563,17124
2015-02-11,37199,38048,37000,37877.25,37546.59375,15305
2015-02-12,38290,41664.94922,38000,40755.25,40399.47656,59601
2015-02-13,41540,41782,40250.10156,40585.5,40231.19531,26119
2015-02-16,40750,41470,40566,40994.64844,40636.77344,15540
2015-02-18,41199,41700,40670.35156,41445.94922,41084.14453,10466
2015-02-19,41687,41687,40330,41119,40760.03906,9764
2015-02-20,41349,41349,40638.64844,40945.75,40588.3125,7555
2015-02-23,40949,41158,40420,40550.75,40196.75781,5923
2015-02-24,40640,41180,40488.89844,40874.69922,40517.875,6536
2015-02-25,40800,41130.10156,40710.64844,40912.30078,40555.15234,7821
2015-02-26,40950,40998,39551.19922,39833.80078,39486.07422,18102
2015-02-27,40048,41450,40000,41200.75,40841.08594,13165
2015-02-28,null,null,null,null,null,null
2015-03-02,41305,42474.89844,40787.05078,42286.19922,41917.04688,17509
2015-03-03,42300,42365.85156,41750.60156,41975.19922,41608.76953,10024
2015-03-04,41474.89844,42149,41160,41323.89844,40963.15625,9595
2015-03-05,41448,41940,41204.35156,41634.19922,41270.75,7062
2015-03-09,41500,41500,40912.35156,41065.35156,40706.86719,4418
2015-03-10,41423.94922,41547.69922,41149.05078,41262.25,40902.04688,7050
2015-03-11,41350,41924,41201.80078,41451.75,41089.89063,6071
2015-03-12,41550,41850,41429,41651.25,41287.65234,6049
2015-03-13,41784,41840,40100,40241.44922,39890.16016,10038
2015-03-16,40300,40499.35156,39698.10156,40160.94922,39810.35156,10671
2015-03-17,40299,40700,40003,40459.69922,40106.49609,5397
2015-03-18,40695,40763.94922,40313,40555.10156,40201.07031,4375
2015-03-19,41178.60156,41178.60156,40150,40298.30078,39946.50781,6393
2015-03-20,40400,40594.75,39697.05078,39891.05078,39542.8125,5935
2015-03-23,40000,40196.14844,38065.05078,38471.89844,38136.05469,10310
2015-03-24,38510,38999,37586.89844,37714,37384.77734,9230
2015-03-25,38010,38010,37350,37610.94922,37282.62109,12640
2015-03-26,37400,37549,37003.30078,37150.5,36826.1875,10750
2015-03-27,38000,38000,36908.30078,37661.89844,37333.11719,7681
